n,r2,rmse,mae,spearman,experiment,model,outcome,feature_set,fold,n_train,n_test,z_dim,train_edges,test_edges,n_outputs,holdout_country
854,0.6381527901898625,2.1931272208724475,1.706637436092179,0.808700525128949,spatial_cv,graphsage_singletask,dhs_women_edu,ae_only,4.0,2867,854,,2061556.0,630822.0,1.0,
845,0.2082355008861081,0.19927546725245188,0.15640432716914887,0.37205915486926644,spatial_cv,graphsage_singletask,dhs_stunting,ae_only,0.0,2721,845,,2014288.0,653072.0,1.0,
829,0.2134945767571138,0.19186633765789504,0.15033131339042408,0.39880760221755923,spatial_cv,graphsage_singletask,dhs_stunting,ae_only,1.0,2650,829,,1984694.0,592668.0,1.0,
850,0.2649564814511749,0.1884458880687428,0.14782372523756587,0.4903100457792314,spatial_cv,graphsage_singletask,dhs_stunting,ae_only,2.0,2848,850,,2061406.0,633756.0,1.0,
857,0.219340490573825,0.18465243112812352,0.1435917499219801,0.42710195271295603,spatial_cv,graphsage_singletask,dhs_stunting,ae_only,3.0,2854,857,,1978522.0,639076.0,1.0,
838,0.1675917428012803,0.2089449756818885,0.16610234708643046,0.39574301801640804,spatial_cv,graphsage_singletask,dhs_stunting,ae_only,4.0,2840,838,,2061556.0,630822.0,1.0,
852,0.3744008727534798,0.09906169668800055,0.07129571317507068,0.5158599656749089,spatial_cv,graphsage_singletask,dhs_mobile,ae_only,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.3387270520169894,0.1369086399272505,0.09523492359943937,0.531198431489658,spatial_cv,graphsage_singletask,dhs_mobile,ae_only,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.431310091605007,0.12290432353330809,0.08477724782265852,0.6318022607312497,spatial_cv,graphsage_singletask,dhs_mobile,ae_only,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.5243650492017009,0.10238954854033437,0.07456441277148135,0.6017266645312129,spatial_cv,graphsage_singletask,dhs_mobile,ae_only,3.0,2893,863,,1978522.0,639076.0,1.0,
854,0.20769596519900335,0.12590112644204515,0.09986253431725557,0.49576124785203,spatial_cv,graphsage_singletask,dhs_mobile,ae_only,4.0,2867,854,,2061556.0,630822.0,1.0,
852,0.7331232350084158,0.42486123490188793,0.3121184659678687,0.8668561098441877,spatial_cv,graphsage_singletask,dhs_wealth,full,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.6684339633943832,0.44184463819180164,0.34249260546901356,0.8161446105063116,spatial_cv,graphsage_singletask,dhs_wealth,full,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.7755613506309997,0.3895721804794067,0.29372705414009814,0.8862112051372343,spatial_cv,graphsage_singletask,dhs_wealth,full,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.7640388411510831,0.40341849529717444,0.3098212964177188,0.8875494686156585,spatial_cv,graphsage_singletask,dhs_wealth,full,3.0,2893,863,,1978522.0,639076.0,1.0,
854,0.785335128824722,0.43062051245218647,0.33221460846323625,0.8897126351326975,spatial_cv,graphsage_singletask,dhs_wealth,full,4.0,2867,854,,2061556.0,630822.0,1.0,
852,0.47354677798865497,0.23592903369238793,0.1861942744477184,0.7004201624912012,spatial_cv,graphsage_singletask,dhs_sanitation,full,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.468820884280705,0.24404919236195224,0.18906881088952412,0.6983708478458693,spatial_cv,graphsage_singletask,dhs_sanitation,full,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.5659421924936014,0.22293877080921598,0.17400457944967607,0.751327564282952,spatial_cv,graphsage_singletask,dhs_sanitation,full,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.5365939555195185,0.23284309749117557,0.17920423091873786,0.7430786588900147,spatial_cv,graphsage_singletask,dhs_sanitation,full,3.0,2893,863,,1978522.0,639076.0,1.0,
854,0.5021489503498648,0.2523878971317631,0.19200982005102016,0.7227862453677935,spatial_cv,graphsage_singletask,dhs_sanitation,full,4.0,2867,854,,2061556.0,630822.0,1.0,
852,0.6902952132749858,1.9198570128470291,1.4726570274401019,0.8174047357932895,spatial_cv,graphsage_singletask,dhs_women_edu,full,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.7339546507972652,1.8115506186074088,1.378846781310496,0.8371823092405757,spatial_cv,graphsage_singletask,dhs_women_edu,full,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.6353072659979079,2.0936505564355716,1.561599205850551,0.8074345764574429,spatial_cv,graphsage_singletask,dhs_women_edu,full,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.7719155874948075,1.7820657202614927,1.3811698170985296,0.842954668498174,spatial_cv,graphsage_singletask,dhs_women_edu,full,3.0,2893,863,,1978522.0,639076.0,1.0,
854,0.6813826249961841,2.057955307185442,1.5721251926705486,0.8190128106398337,spatial_cv,graphsage_singletask,dhs_women_edu,full,4.0,2867,854,,2061556.0,630822.0,1.0,
845,0.19283615090351192,0.20120402989315436,0.15887984316465417,0.3467172273913569,spatial_cv,graphsage_singletask,dhs_stunting,full,0.0,2721,845,,2014288.0,653072.0,1.0,
829,0.20852967848681003,0.19247097317867856,0.15032684827275097,0.39697376492127745,spatial_cv,graphsage_singletask,dhs_stunting,full,1.0,2650,829,,1984694.0,592668.0,1.0,
850,0.21816246990935972,0.1943517234468606,0.1502060130413841,0.46894080342866856,spatial_cv,graphsage_singletask,dhs_stunting,full,2.0,2848,850,,2061406.0,633756.0,1.0,
857,0.16706321494835497,0.19073492543609583,0.1487922916838697,0.3894216293189093,spatial_cv,graphsage_singletask,dhs_stunting,full,3.0,2854,857,,1978522.0,639076.0,1.0,
838,0.21600135326654013,0.2027782633063758,0.1603392009581117,0.4379239582893249,spatial_cv,graphsage_singletask,dhs_stunting,full,4.0,2840,838,,2061556.0,630822.0,1.0,
852,0.39628274277273967,0.09731381312422888,0.06502345022461224,0.5764989904467748,spatial_cv,graphsage_singletask,dhs_mobile,full,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.6136813711910745,0.10464375210841992,0.07494473132933156,0.67645164058064,spatial_cv,graphsage_singletask,dhs_mobile,full,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.5406389366000961,0.11046036914318265,0.08060447634581766,0.6609004719923643,spatial_cv,graphsage_singletask,dhs_mobile,full,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.5828385828955813,0.09588944723160579,0.0716126888886802,0.6050961647812779,spatial_cv,graphsage_singletask,dhs_mobile,full,3.0,2893,863,,1978522.0,639076.0,1.0,
854,0.48807079611659676,0.10120189265436536,0.07009810464024822,0.7045407969898125,spatial_cv,graphsage_singletask,dhs_mobile,full,4.0,2867,854,,2061556.0,630822.0,1.0,
602,0.5641506118864691,0.5384113168312945,0.42228113534243233,0.7908456072328504,loco,xgb,dhs_wealth,ae_only,,4584,602,,,,,GHA
602,0.5330211999822305,0.5573070562384631,0.45536878498111955,0.8304483134325333,loco,xgb,dhs_wealth,tab_only,,4584,602,,,,,GHA
602,0.634262349444541,0.4932087749540987,0.39355541956058876,0.8363515450205978,loco,xgb,dhs_wealth,full,,4584,602,,,,,GHA
602,0.6441757184269232,0.48647861053957026,0.38631568217045353,0.8206670364574495,loco,xgb,dhs_wealth,ae_plus_orthogonal,,4584,602,,,,,GHA
602,0.6413318595521762,0.4884187861865954,0.3862540653862382,0.82973480368485,loco,xgb,dhs_wealth,ae_plus_amount,,4584,602,,,,,GHA
602,0.2801541507741653,0.2809009167378533,0.2202411556238946,0.6226162983029806,loco,xgb,dhs_sanitation,ae_only,,4584,602,,,,,GHA
602,0.13091609285348804,0.30864856223001763,0.23836679096980348,0.5691548201382908,loco,xgb,dhs_sanitation,tab_only,,4584,602,,,,,GHA
602,0.21468822078185734,0.2933961833395022,0.22613575360258156,0.5620116816201991,loco,xgb,dhs_sanitation,full,,4584,602,,,,,GHA
602,0.277714639920316,0.28137649164152295,0.21793411373844573,0.5798716874260696,loco,xgb,dhs_sanitation,ae_plus_orthogonal,,4584,602,,,,,GHA
602,0.2134984150238196,0.29361835773914374,0.22581203072718609,0.5530980194729462,loco,xgb,dhs_sanitation,ae_plus_amount,,4584,602,,,,,GHA
602,0.38442597230317965,2.12914108855609,1.6666775012135109,0.6531155661380226,loco,xgb,dhs_women_edu,ae_only,,4584,602,,,,,GHA
602,0.25065431781833225,2.3491210787563155,1.9245668840764765,0.7168454954756767,loco,xgb,dhs_women_edu,tab_only,,4584,602,,,,,GHA
602,0.338845899368307,2.2065595124522566,1.8158601179867488,0.729243025886827,loco,xgb,dhs_women_edu,full,,4584,602,,,,,GHA
602,0.34457951494962547,2.196970891145849,1.8102117846178454,0.7198758275080621,loco,xgb,dhs_women_edu,ae_plus_orthogonal,,4584,602,,,,,GHA
602,0.30959686915912743,2.2548397033812506,1.7927119808141576,0.6913446516051927,loco,xgb,dhs_women_edu,ae_plus_amount,,4584,602,,,,,GHA
600,-0.8453605812695926,0.22690461667068565,0.18948047233745455,0.1861094590049872,loco,xgb,dhs_stunting,ae_only,,4532,600,,,,,GHA
600,-0.25924826882392926,0.18743832463814405,0.1552426212094724,0.27330865189696857,loco,xgb,dhs_stunting,tab_only,,4532,600,,,,,GHA
600,-0.4226445114727839,0.19922824483145307,0.1645415259214739,0.2282466064473129,loco,xgb,dhs_stunting,full,,4532,600,,,,,GHA
600,-0.518488529067572,0.2058299034461727,0.17217185674235225,0.2140167143759224,loco,xgb,dhs_stunting,ae_plus_orthogonal,,4532,600,,,,,GHA
600,-0.585960202254239,0.21035307017171218,0.1743306561373174,0.1620732835422624,loco,xgb,dhs_stunting,ae_plus_amount,,4532,600,,,,,GHA
602,-0.49785199293975224,0.08819227700154941,0.07026401845323683,0.3993563158169438,loco,xgb,dhs_mobile,ae_only,,4584,602,,,,,GHA
602,-0.3191604094358531,0.08276465503298269,0.059335227919575385,0.4416243926741951,loco,xgb,dhs_mobile,tab_only,,4584,602,,,,,GHA
602,-0.05155208949528123,0.07389439541015388,0.05558946243552274,0.45333861547840243,loco,xgb,dhs_mobile,full,,4584,602,,,,,GHA
602,-0.17526281053140713,0.07812024590965634,0.058330659751480204,0.43800607030835964,loco,xgb,dhs_mobile,ae_plus_orthogonal,,4584,602,,,,,GHA
602,-0.07671699344827232,0.07477335863784382,0.05640360178345462,0.46652831984411125,loco,xgb,dhs_mobile,ae_plus_amount,,4584,602,,,,,GHA
172,0.5567830310425131,0.5016020620888889,0.3862544941867507,0.7577584234817449,loco,xgb,dhs_wealth,ae_only,,5014,172,,,,,GMB
172,0.6285490454230658,0.45919998256344424,0.3435227859895243,0.7532940430118177,loco,xgb,dhs_wealth,tab_only,,5014,172,,,,,GMB
172,0.6480924417685359,0.4469566680936377,0.33762308225295573,0.8045955054324883,loco,xgb,dhs_wealth,full,,5014,172,,,,,GMB
172,0.6842772492407931,0.4233543850579632,0.3233772310276711,0.7877237791346223,loco,xgb,dhs_wealth,ae_plus_orthogonal,,5014,172,,,,,GMB
172,0.6612909635785971,0.4384948683019121,0.3254896911554212,0.8041191161800184,loco,xgb,dhs_wealth,ae_plus_amount,,5014,172,,,,,GMB
172,0.23123417532746682,0.2486916612734255,0.19736624617389467,0.5298668080878868,loco,xgb,dhs_sanitation,ae_only,,5014,172,,,,,GMB
172,-0.022249288372775178,0.2867758644702809,0.2156320657840995,0.5620239784260205,loco,xgb,dhs_sanitation,tab_only,,5014,172,,,,,GMB
172,0.2674170226284869,0.2427686485224066,0.187271251451484,0.5567014041673835,loco,xgb,dhs_sanitation,full,,5014,172,,,,,GMB
172,0.196662822308444,0.25422199483519187,0.19636571983438592,0.44827326611241924,loco,xgb,dhs_sanitation,ae_plus_orthogonal,,5014,172,,,,,GMB
172,0.2573843474940579,0.24442534596470952,0.18993768082974954,0.5028718153544627,loco,xgb,dhs_sanitation,ae_plus_amount,,5014,172,,,,,GMB
172,0.22878314395985289,1.9846998894305286,1.5133502178413922,0.5886806781005107,loco,xgb,dhs_women_edu,ae_only,,5014,172,,,,,GMB
172,-0.6283231656088251,2.883878037852145,2.5237791247146073,0.6330249968900175,loco,xgb,dhs_women_edu,tab_only,,5014,172,,,,,GMB
172,0.30187444740659364,1.8883102738962538,1.5818075898081758,0.6109931601548383,loco,xgb,dhs_women_edu,full,,5014,172,,,,,GMB
172,0.34726219091275246,1.8258957327876562,1.5102671190749768,0.6991664951940704,loco,xgb,dhs_women_edu,ae_plus_orthogonal,,5014,172,,,,,GMB
172,0.39587038429773924,1.7565950398064911,1.3743089479069377,0.6229559616790512,loco,xgb,dhs_women_edu,ae_plus_amount,,5014,172,,,,,GMB
172,-1.99500923220669,0.18852216472320954,0.16122742563616052,0.05497631696391625,loco,xgb,dhs_stunting,ae_only,,4960,172,,,,,GMB
172,-4.374105446845052,0.25253200508562634,0.21499932950449197,0.23533959662197726,loco,xgb,dhs_stunting,tab_only,,4960,172,,,,,GMB
172,-3.258873892491395,0.2248074634993,0.19332526029672387,0.2123161035238079,loco,xgb,dhs_stunting,full,,4960,172,,,,,GMB
172,-1.949879219038663,0.18709640917199674,0.15984374071406418,0.20057431079957755,loco,xgb,dhs_stunting,ae_plus_orthogonal,,4960,172,,,,,GMB
172,-3.0961098403835923,0.22046981224621653,0.19122892474149203,0.19037087813888548,loco,xgb,dhs_stunting,ae_plus_amount,,4960,172,,,,,GMB
172,-15.869914227957551,0.17097918542110155,0.1574447463418162,0.03710014107740081,loco,xgb,dhs_mobile,ae_only,,5014,172,,,,,GMB
172,-8.429613194602254,0.12783028157234114,0.1073475694933603,0.05335375951584641,loco,xgb,dhs_mobile,tab_only,,5014,172,,,,,GMB
172,-15.374242084639064,0.16844860156819721,0.1486084866662358,0.10329996446886434,loco,xgb,dhs_mobile,full,,5014,172,,,,,GMB
172,-11.56508013060287,0.14756026880839998,0.13184379457041276,0.10767924521818747,loco,xgb,dhs_mobile,ae_plus_orthogonal,,5014,172,,,,,GMB
172,-15.751841450537984,0.17037979187365201,0.14909582533115565,0.09455833653647065,loco,xgb,dhs_mobile,ae_plus_amount,,5014,172,,,,,GMB
1490,0.3323741418817385,0.683073251105467,0.5409002347699298,0.5828184117709898,loco,xgb,dhs_wealth,ae_only,,3696,1490,,,,,KEN
1490,0.586452810695478,0.5376049279205577,0.42509315638684186,0.8043913314694646,loco,xgb,dhs_wealth,tab_only,,3696,1490,,,,,KEN
1490,0.5712265484916365,0.5474124214490321,0.43472819116541606,0.8066368797974065,loco,xgb,dhs_wealth,full,,3696,1490,,,,,KEN
1490,0.527001072495339,0.5749509319463671,0.45152280011445584,0.8057503965653917,loco,xgb,dhs_wealth,ae_plus_orthogonal,,3696,1490,,,,,KEN
1490,0.5921503159177899,0.533888749752311,0.4202493765760188,0.7950490381269685,loco,xgb,dhs_wealth,ae_plus_amount,,3696,1490,,,,,KEN
1490,0.13720780258277776,0.2883487093230858,0.24080301967993278,0.40731240262789503,loco,xgb,dhs_sanitation,ae_only,,3696,1490,,,,,KEN
1490,0.3488077514081216,0.25050679955166355,0.20233282785637666,0.5951472192924198,loco,xgb,dhs_sanitation,tab_only,,3696,1490,,,,,KEN
1490,0.391793269678372,0.24209761896583945,0.19096846369238907,0.6274802057425957,loco,xgb,dhs_sanitation,full,,3696,1490,,,,,KEN
1490,0.37620924520999,0.24517962373964156,0.19381687593890118,0.6215578260469841,loco,xgb,dhs_sanitation,ae_plus_orthogonal,,3696,1490,,,,,KEN
1490,0.37774746330813647,0.24487714048075745,0.19281784634812166,0.6233489211224178,loco,xgb,dhs_sanitation,ae_plus_amount,,3696,1490,,,,,KEN
1490,0.16310036432638364,2.815077654785966,2.354729051875488,0.514957577518489,loco,xgb,dhs_women_edu,ae_only,,3696,1490,,,,,KEN
1490,0.30629142979124435,2.5629623123191414,2.1574797279857747,0.6238291303098658,loco,xgb,dhs_women_edu,tab_only,,3696,1490,,,,,KEN
1490,0.44036156670233817,2.302011326593745,1.9379491913213627,0.6861940771694209,loco,xgb,dhs_women_edu,full,,3696,1490,,,,,KEN
1490,0.4430658031576481,2.2964428014522666,1.8739873076420301,0.6845760912706632,loco,xgb,dhs_women_edu,ae_plus_orthogonal,,3696,1490,,,,,KEN
